"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Dickinson","KS",18829,18682,18466,18368,18483,18430,18452,18452
"Dickinson","MI",25424,25371,25239,25898,25795,25874,25883,25883
"Dickson","TN",52774,53446,53948,54442,55174,55761,56356,56356
"Dillingham Census Area","AK",4940,4991,4916,4835,4774,4723,4722,4722
"Dillon","SC",30496,30612,30479,28275,27981,27738,28216,28216
"Dimmit","TX",10282,10195,10124,8577,8479,8387,8520,8520
"Dinwiddie","VA",28630,28633,28544,27888,27999,28161,28266,28266
"District of Columbia","DC",694906,701547,705749,670868,668791,671803,678972,678972
"Divide","ND",2295,2264,2264,2212,2191,2187,2201,2201
"Dixie","FL",16615,16685,16826,16690,16905,17124,17406,17406
"Dixon","NE",5746,5700,5636,5582,5546,5464,5494,5494
"Doddridge","WV",8518,8556,8448,7787,7739,7698,7676,7676
"Dodge","GA",20749,20793,20605,19874,19675,19802,20014,20014
"Dodge","MN",20696,20767,20934,20895,20964,20981,21058,21058
"Dodge","NE",36789,36725,36565,37110,37120,36997,37194,37194
"Dodge","WI",87705,87833,87839,89353,88657,88282,88558,88558
"Dolores","CO",2045,2060,2055,2332,2370,2455,2471,2471
"Doña Ana","NM",216174,217278,218195,220047,221655,223337,223446,223446
"Doniphan","KS",7657,7658,7600,7463,7442,7440,7449,7449
"Donley","TX",3340,3315,3278,3279,3364,3339,3392,3392
"Dooly","GA",13691,13709,13390,11165,10881,10572,10685,10685
"Door","WI",27454,27589,27668,30120,30406,30526,30622,30622
"Dorchester","MD",32105,31960,31929,32528,32625,32726,32809,32809
"Dorchester","SC",158988,160718,162809,162159,163508,166133,168993,168993
"Dougherty","GA",89457,89200,87956,85153,82267,82966,83851,83851
"Douglas","CO",335816,342989,351154,360303,369825,375988,378415,378415
"Douglas","GA",143376,145024,146343,144552,145628,147316,148887,148887
"Douglas","IL",19629,19458,19465,19758,19740,19755,19705,19705
"Douglas","KS",120281,121109,122259,118777,119480,119964,120103,120103
"Douglas","MN",37520,37960,38141,39089,39305,39668,39812,39812
"Douglas","MO",13276,13359,13185,11604,11754,11975,12011,12011
"Douglas","NE",560733,566391,571327,585386,585467,586327,589443,589443
"Douglas","NV",48030,48489,48905,49522,49969,49628,49885,49885
"Douglas","OR",109197,110114,110980,111288,112057,112297,112118,112118
"Douglas","SD",2927,2926,2921,2829,2809,2776,2805,2805
"Douglas","WA",42027,42749,43429,43031,43838,44192,44346,44346
"Douglas","WI",43328,43143,43150,44343,44026,44144,44282,44282
"Drew","AR",18370,18328,18219,17314,17070,16911,17034,17034
"Dubois","IN",42538,42674,42736,43643,43625,43632,43819,43819
"Dubuque","IA",97066,96922,97311,99291,98815,98677,98878,98878
"Duchesne","UT",19868,19943,19938,19617,19806,20161,20382,20382
"Dukes","MA",17311,17329,17332,20579,21109,20868,20927,20927
"Dundy","NE",1783,1764,1693,1654,1630,1590,1599,1599
"Dunklin","MO",30121,29478,29131,28217,27751,27406,27487,27487
"Dunn","ND",4274,4328,4424,4100,4025,4015,4040,4040
"Dunn","WI",44714,45091,45368,45441,44509,45651,45794,45794
"DuPage","IL",930265,927247,922921,931244,926448,920901,918534,918534
"Duplin","NC",58943,58991,58741,48657,48606,48990,49616,49616
"Durham","NC",312153,316979,321488,325561,329699,332680,336925,336925
"Dutchess","NY",293545,293939,294218,295398,298039,297545,295944,295944
"Duval","FL",937933,948652,957755,997604,1002252,1016536,1033257,1033257
"Duval","TX",11270,11147,11157,9807,10003,9888,10044,10044
"Dyer","TN",37339,37286,37159,36709,36586,36410,36799,36799
"Eagle","CO",54929,54943,55127,55665,55773,55285,55642,55642
"Early","GA",10317,10286,10190,10799,10651,10574,10687,10687
"East Baton Rouge Parish","LA",444511,442058,440059,455886,453653,450544,448926,448926
"East Carroll Parish","LA",7111,6994,6861,7397,7242,6990,6965,6965
"East Feliciana Parish","LA",19380,19286,19135,19450,19319,19135,19067,19067
"Eastland","TX",18294,18319,18360,17775,17834,17944,18228,18228
"Eaton","MI",109456,109710,110268,109176,109030,108992,109027,109027
"Eau Claire","WI",103582,104355,104646,105874,105988,106837,107171,107171
"Echols","GA",3914,4000,4006,3720,3708,3686,3726,3726
"Ector","TX",156951,161960,166223,165485,160764,160869,163407,163407
"Eddy","ND",2315,2309,2287,2320,2322,2314,2328,2328
"Eddy","NM",57108,57729,58460,62329,60899,60400,60430,60430
"Edgar","IL",17390,17360,17161,16796,16589,16433,16391,16391
"Edgecombe","NC",52756,51984,51472,48777,48370,48301,48918,48918
"Edgefield","SC",26837,27132,27260,25672,26285,26932,27396,27396
"Edmonson","KY",12226,12249,12150,12153,12213,12269,12307,12307
"Edmunds","SD",3915,3866,3829,3982,4028,4065,4108,4108
"Edwards","IL",6448,6387,6395,6208,6086,6071,6056,6056
"Edwards","KS",2873,2820,2798,2883,2800,2739,2743,2743
"Edwards","TX",1929,1908,1932,1424,1431,1422,1445,1445
"Effingham","GA",60086,62228,64296,65158,66746,69041,69778,69778
"Effingham","IL",34123,34181,34008,34695,34531,34325,34237,34237
"El Dorado","CA",188679,190746,192843,191220,193590,192646,192330,192330
"El Paso","CO",700099,712089,720403,732342,737228,740567,745346,745346
"El Paso","TX",837401,836825,839238,866547,868086,868763,882469,882469
"Elbert","CO",25765,26303,26729,26207,27133,27799,27979,27979
"Elbert","GA",19102,19095,19194,19667,19554,19814,20026,20026
"Elk","KS",2514,2484,2530,2474,2431,2441,2444,2444
"Elk","PA",30271,30110,29910,30926,30771,30477,30453,30453
"Elkhart","IN",204194,205617,206341,206983,207066,206890,207773,207773
"Elko","NV",52357,52539,52778,53670,53811,54046,54325,54325
"Elliott","KY",7493,7499,7517,7333,7375,7293,7316,7316
"Ellis","KS",28735,28646,28553,28943,28897,28941,28975,28975
"Ellis","OK",3970,3939,3859,3739,3731,3657,3688,3688
"Ellis","TX",173405,179006,184826,194295,203107,212182,215530,215530
"Ellsworth","KS",6284,6163,6102,6369,6320,6355,6363,6363
"Elmore","AL",81422,81011,81209,87853,88737,89563,90167,90167
"Elmore","ID",26881,27362,27511,28669,28941,29403,29793,29793
"Emanuel","GA",22533,22607,22646,22887,22887,22929,23174,23174
"Emery","UT",10006,10003,10012,9842,9963,10099,10210,10210
"Emmet","IA",9422,9277,9208,9335,9318,9176,9195,9195
"Emmet","MI",33081,33225,33415,34104,34280,34163,34174,34174
"Emmons","ND",3298,3278,3241,3293,3262,3250,3270,3270
"Emporia city","VA",5467,5363,5346,5709,5622,5481,5502,5502
"Erath","TX",41723,42223,42698,42716,43389,43895,44588,44588
"Erie","NY",919034,919717,918702,952598,954350,950312,945196,945196
"Erie","OH",74760,74513,74266,75475,74918,74501,74691,74691
"Erie","PA",273558,271544,269728,270539,269300,267689,267476,267476
"Escambia","AL",36993,36524,36633,36680,36658,36666,36913,36913
"Escambia","FL",313249,315104,318316,322551,323480,324878,330222,330222
"Esmeralda","NV",843,827,873,732,733,744,748,748
"Essex","MA",784453,788183,789034,808491,807485,806765,809010,809010
"Essex","NJ",796349,798570,798975,859924,854121,849477,852150,852150
"Essex","NY",37487,37288,36885,37326,37292,36910,36712,36712
"Essex","VA",10969,10896,10953,10595,10552,10630,10670,10670
"Essex","VT",6184,6234,6163,5918,5965,5994,5998,5998
"Estill","KY",14178,14150,14106,14161,14090,14044,14088,14088
"Etowah","AL",103007,102611,102268,103447,103139,103088,103783,103783
"Eureka","NV",1946,1998,2029,1853,1909,1863,1873,1873
"Evangeline Parish","LA",33663,33496,33395,32304,32190,31986,31872,31872
"Evans","GA",10741,10702,10654,10790,10711,10695,10810,10810
"Fairbanks North Star Borough","AK",99675,98565,96849,95328,95528,95356,95333,95333
"Fairfax","VA",1148728,1148463,1147532,1148558,1141645,1138331,1142537,1142537
"Fairfax city","VA",23435,23725,24019,24175,24391,24835,24927,24927
"Fairfield","CT",943038,943971,943332,NA,NA,NA,NA,NA
"Fairfield","OH",154686,155982,157574,159443,161182,162898,163312,163312
"Fairfield","SC",22593,22376,22347,20880,20698,20455,20808,20808
"Fall River","SD",6698,6740,6713,6972,7189,7370,7447,7447
"Fallon","MT",3004,2912,2846,3028,2984,3011,3038,3038
"Falls","TX",17340,17231,17297,16954,17099,17049,17318,17318
"Falls Church city","VA",14245,14467,14617,14677,14546,14586,14640,14640
"Fannin","GA",25332,25981,26188,25434,25763,25737,26012,26012
"Fannin","TX",34550,35185,35514,35798,36716,37125,37711,37711
"Faribault","MN",13768,13736,13653,13901,13910,13926,13977,13977
"Faulk","SD",2323,2315,2299,2128,2126,2126,2149,2149
"Faulkner","AR",123530,125138,126007,123811,125645,127665,128592,128592
"Fauquier","VA",69547,70642,71222,72990,74022,74664,74940,74940
"Fayette","AL",16466,16445,16302,16330,16155,16118,16227,16227
"Fayette","GA",112553,113181,114421,119483,120681,122030,123332,123332
"Fayette","IA",19687,19679,19650,19445,19309,19294,19334,19334
"Fayette","IL",21514,21368,21336,21483,21447,21305,21251,21251
"Fayette","IN",23154,23076,23102,23362,23376,23349,23449,23449
"Fayette","KY",321964,322426,323152,322613,320473,320347,321330,321330
"Fayette","OH",28639,28653,28525,28971,28929,28839,28913,28913
"Fayette","PA",131309,130323,129274,128569,127113,125755,125655,125655
"Fayette","TN",40150,40556,41133,42151,42899,43630,44095,44095
"Fayette","TX",25119,25278,25346,24471,24669,24913,25307,25307
"Fayette","WV",43607,42982,42406,40425,40083,39487,39374,39374
"Fentress","TN",18214,18322,18523,18533,18837,19332,19539,19539
"Fergus","MT",11281,11117,11050,11469,11609,11663,11767,11767
"Ferry","WA",7576,7638,7627,7196,7267,7448,7474,7474
"Fillmore","MN",20980,21044,21067,21234,21303,21414,21492,21492
"Fillmore","NE",5561,5535,5462,5572,5555,5553,5583,5583
"Finney","KS",36720,36528,36467,38302,38066,37650,37694,37694
"Fisher","TX",3874,3821,3830,3676,3678,3622,3680,3680
"Flagler","FL",109999,112085,115081,116030,120904,126705,128790,128790
"Flathead","MT",100091,102017,103806,104862,108725,111814,112805,112805
"Fleming","KY",14439,14485,14581,15098,15268,15288,15335,15335
"Florence","SC",138495,138277,138293,136811,136439,136721,139075,139075
"Florence","WI",4335,4294,4295,4560,4586,4688,4703,4703
"Floyd","GA",97500,97964,98498,98575,98499,99443,100504,100504
"Floyd","IA",15767,15752,15642,15590,15449,15337,15369,15369
"Floyd","IN",77006,77834,78522,80509,80606,80714,81059,81059
"Floyd","KY",36296,35896,35589,35804,35300,34978,35086,35086
"Floyd","TX",5830,5783,5712,5368,5299,5235,5318,5318
"Floyd","VA",15758,15790,15749,15469,15509,15619,15677,15677
"Fluvanna","VA",26480,26898,27270,27285,27797,28159,28264,28264
"Foard","TX",1202,1191,1155,1085,1052,1057,1074,1074
"Fond du Lac","WI",102417,103001,103403,104150,104166,103836,104161,104161
"Ford","IL",13298,13212,12961,13517,13491,13249,13215,13215
"Ford","KS",34218,33877,33619,34208,34121,33848,33888,33888
"Forest","PA",7317,7284,7247,6959,6896,6626,6621,6621
"Forest","WI",8969,8977,9004,9165,9262,9381,9411,9411
"Forrest","MS",75155,74912,74897,78185,77883,78110,78101,78101
"Forsyth","GA",228940,236993,244252,252878,260721,267237,270087,270087
"Forsyth","NC",375840,379216,382295,383166,386172,389157,394123,394123
"Fort Bend","TX",767712,788081,811688,829036,860124,889146,903173,903173
"Foster","ND",3249,3207,3210,3388,3362,3378,3399,3399
"Fountain","IN",16419,16390,16346,16483,16466,16574,16645,16645
"Franklin","AL",31542,31298,31362,32075,31996,31932,32148,32148
"Franklin","AR",17809,17764,17715,17135,17166,17271,17397,17397
"Franklin","FL",11724,11676,12125,12463,12175,12498,12704,12704
"Franklin","GA",22864,23034,23349,23468,23503,24128,24386,24386
"Franklin","IA",10160,10085,10070,9997,9952,9916,9937,9937
"Franklin","ID",13467,13704,13876,14284,14676,15189,15391,15391
"Franklin","IL",38995,38695,38469,37685,37498,37242,37147,37147
"Franklin","IN",22694,22706,22758,22793,22857,23028,23127,23127
"Franklin","KS",25631,25625,25544,26008,26021,25992,26023,26023
"Franklin","KY",50492,50801,50991,51589,51683,51607,51766,51766
"Franklin","MA",70605,70611,70180,70930,70943,70894,71092,71092
"Franklin","ME",29799,29915,30199,29460,30275,30474,30703,30703
"Franklin","MO",103315,103716,103967,104853,105328,105879,106191,106191
"Franklin","MS",7754,7758,7713,7665,7689,7642,7642,7642
"Franklin","NC",66155,67625,69685,69115,71798,74539,75491,75491
"Franklin","NE",2974,3013,2979,2890,2891,2873,2889,2889
"Franklin","NY",50465,50279,50022,47565,47040,46373,46124,46124
"Franklin","OH",1295510,1307698,1316756,1324357,1317560,1321820,1325180,1325180
"Franklin","PA",154376,154579,155027,155939,156589,156902,156778,156778
"Franklin","TN",41623,41935,42208,42839,43247,43942,44411,44411
"Franklin","TX",10798,10778,10725,10371,10472,10618,10786,10786
"Franklin","VA",56315,56191,56042,54486,55010,55074,55278,55278
"Franklin","VT",48969,49258,49402,50040,50433,50731,50763,50763
"Franklin","WA",91896,94003,95222,97143,98126,98678,99022,99022
"Franklin city","VA",8145,8089,7967,8149,8128,8247,8278,8278
"Franklin Parish","LA",20256,20164,20015,19712,19593,19308,19239,19239
"Frederick","MD",250622,254943,259547,272765,280410,287079,287806,287806
"Frederick","VA",86456,88173,89313,91865,94014,95051,95403,95403
"Fredericksburg city","VA",28498,29171,29036,27995,28458,28757,28864,28864
"Freeborn","MN",30582,30480,30281,30902,30808,30718,30830,30830
"Freestone","TX",19649,19789,19717,19445,19784,19950,20265,20265
"Fremont","CO",47548,47959,47839,48878,49234,49621,49942,49942
"Fremont","IA",6930,6981,6960,6567,6575,6464,6478,6478
"Fremont","ID",13122,13155,13099,13414,13606,13978,14164,14164
"Fremont","WY",39818,39561,39261,39197,39422,39472,39654,39654
"Fresno","CA",985238,991950,999101,1009503,1012992,1015190,1013522,1013522
"Frio","TX",19895,20211,20306,18409,17548,17815,18097,18097
"Frontier","NE",2623,2600,2627,2504,2555,2633,2647,2647
"Fulton","AR",12131,12308,12477,12057,12156,12382,12472,12472
"Fulton","GA",1038938,1050131,1063937,1069370,1062531,1074634,1086092,1086092
"Fulton","IL",35104,34830,34340,33488,33313,33021,32937,32937
"Fulton","IN",19995,20053,19974,20469,20380,20327,20414,20414
"Fulton","KY",6163,6066,5969,6512,6513,6382,6402,6402
"Fulton","NY",53802,53633,53383,53132,53055,52669,52386,52386
"Fulton","OH",42265,42267,42126,42643,42473,42171,42279,42279
"Fulton","PA",14469,14525,14530,14572,14509,14533,14522,14522
"Furnas","NE",4763,4701,4676,4626,4611,4575,4600,4600
"Gadsden","FL",45993,45927,45660,43402,43554,43403,44117,44117
"Gage","NE",21621,21495,21513,21653,21611,21583,21698,21698
"Gaines","TX",20553,20820,21492,21699,21881,22181,22531,22531
"Galax city","VA",6484,6348,6347,6714,6659,6730,6755,6755
"Gallatin","IL",5071,5045,4828,4938,4907,4855,4843,4843
"Gallatin","KY",8720,8766,8869,8672,8766,8763,8790,8790
"Gallatin","MT",108576,111682,114434,119585,123051,124857,125963,125963
"Gallia","OH",30162,29945,29898,29241,29220,29068,29142,29142
"Galveston","TX",334633,337858,342139,351559,355309,357117,362751,362751
"Garden","NE",1890,1890,1837,1886,1833,1837,1847,1847
"Garfield","CO",59032,59701,60061,61792,62195,62271,62673,62673
"Garfield","MT",1281,1257,1258,1170,1210,1218,1229,1229
"Garfield","NE",1986,1974,1969,1807,1832,1801,1811,1811
"Garfield","OK",61600,61095,61056,62692,61947,61920,62445,62445
"Garfield","UT",5025,5002,5051,5107,5149,5281,5339,5339
"Garfield","WA",2215,2240,2225,2298,2354,2363,2372,2372
"Garland","AR",98327,98966,99386,100249,100386,100089,100816,100816
"Garrard","KY",17449,17519,17666,16965,17385,17589,17643,17643
"Garrett","MD",29242,29133,29014,28792,28757,28579,28652,28652
"Garvin","OK",27857,27746,27711,25645,25738,25713,25931,25931
"Garza","TX",6490,6243,6229,5817,6269,6262,6361,6361
"Gasconade","MO",14683,14680,14706,14760,14791,14768,14812,14812
"Gaston","NC",219656,222630,224529,228514,231337,234215,237204,237204
"Gates","NC",11514,11563,11562,10448,10403,10383,10516,10516
"Geary","KS",33774,32777,31670,36751,36112,35691,35733,35733
"Geauga","OH",93881,93945,93649,95347,95649,95469,95712,95712
"Gem","ID",17311,17587,18112,19274,19832,20418,20689,20689
"Genesee","MI",407488,406688,405813,405757,404662,401983,402110,402110
"Genesee","NY",57798,57487,57280,58313,57988,57535,57226,57226
"Geneva","AL",26385,26306,26271,26696,26667,26783,26964,26964
"Gentry","MO",6634,6598,6571,6134,6169,6253,6272,6272
"George","MS",23951,24110,24500,24364,24793,25206,25203,25203
"Georgetown","SC",61826,62232,62680,63506,63991,64722,65836,65836
"Gibson","IN",33721,33610,33659,33055,32954,32993,33134,33134
"Gibson","TN",49255,49171,49133,50436,50537,50837,51379,51379
"Gila","AZ",53578,53801,54018,53351,53521,53922,54451,54451
"Gilchrist","FL",17900,18284,18582,17883,18306,18992,19305,19305
"Giles","TN",29379,29446,29464,30340,30403,30554,30880,30880
"Giles","VA",16754,16799,16720,16785,16584,16453,16514,16514
"Gillespie","TX",26483,26702,26988,26742,27282,27477,27911,27911
"Gilliam","OR",1862,1893,1912,2017,2015,2018,2015,2015
"Gilmer","GA",30443,30835,31369,31428,32090,32407,32753,32753
"Gilmer","WV",8042,7898,7823,7397,7389,7325,7305,7305
"Gilpin","CO",6018,6112,6243,5824,5899,5891,5930,5930
"Glacier","MT",13732,13828,13753,13737,13743,13681,13803,13803
"Glades","FL",13580,13686,13811,12068,12268,12454,12659,12659
"Gladwin","MI",25241,25326,25449,25375,25528,25728,25737,25737
"Glascock","GA",3032,2977,2971,2894,2906,2939,2971,2971
"Glasscock","TX",1363,1391,1409,1117,1142,1164,1183,1183
"Glenn","CA",27926,27967,28393,28896,28664,28339,28293,28293
"Gloucester","NJ",290961,291525,291636,302554,304620,306601,307566,307566
"Gloucester","VA",37295,37341,37348,38718,39131,39493,39639,39639
"Glynn","GA",84675,84975,85292,84471,84705,85079,85987,85987
"Gogebic","MI",15340,15116,13975,14346,14356,14319,14324,14324
"Golden Valley","MT",817,822,821,821,818,835,843,843
"Golden Valley","ND",1779,1763,1761,1720,1757,1744,1755,1755
"Goliad","TX",7552,7588,7658,7021,7146,7131,7244,7244
"Gonzales","TX",20742,20781,20837,19679,19655,19832,20145,20145
"Goochland","VA",22703,23219,23753,24853,25499,26109,26206,26206
"Goodhue","MN",46307,46299,46340,47575,48018,48013,48188,48188
"Gooding","ID",15121,15116,15179,15643,15725,15715,15924,15924
"Gordon","GA",57164,57628,57963,57716,58253,58954,59583,59583
"Goshen","WY",13361,13292,13211,12514,12557,12562,12620,12620
"Gosper","NE",2028,1996,1990,1895,1819,1808,1818,1818
"Gove","KS",2622,2611,2636,2707,2735,2717,2721,2721
"Grady","GA",24773,24774,24633,26222,25879,26008,26286,26286
"Grady","OK",54829,55448,55834,54873,55608,56658,57138,57138
"Grafton","NH",89853,89701,89886,91177,90474,91126,91572,91572
"Graham","AZ",37481,37995,38837,38638,38882,38779,39160,39160
"Graham","KS",2485,2475,2482,2408,2408,2411,2414,2414
"Graham","NC",8524,8461,8441,8035,8008,7980,8082,8082
"Grainger","TN",23106,23137,23320,23563,23833,24277,24536,24536
"Grand","CO",15364,15511,15734,15748,15870,15769,15871,15871
"Grand","UT",9589,9686,9754,9677,9665,9769,9876,9876
"Grand Forks","ND",70489,70355,69451,73126,72512,72413,72847,72847
"Grand Isle","VT",6975,7110,7235,7276,7418,7489,7494,7494
"Grand Traverse","MI",91791,92530,93088,95411,96013,96464,96495,96495
"Granite","MT",3356,3371,3379,3308,3355,3502,3534,3534
"Grant","AR",18103,18180,18265,18022,18149,18160,18292,18292
"Grant","IN",66305,66039,65769,66475,66203,66022,66304,66304
"Grant","KS",7490,7294,7150,7326,7318,7197,7206,7206
"Grant","KY",24973,25065,25069,25014,25302,25502,25581,25581
"Grant","MN",5916,5989,5972,6094,6161,6136,6159,6159
"Grant","ND",2363,2354,2274,2289,2311,2243,2257,2257
"Grant","NE",649,657,623,615,577,576,580,580
"Grant","NM",27642,27303,26998,28203,27892,27686,27700,27700
"Grant","OK",4379,4321,4333,4174,4153,4124,4159,4159
"Grant","OR",7188,7185,7199,7241,7288,7218,7207,7207
"Grant","SD",7159,7103,7052,7532,7532,7463,7541,7541
"Grant","WA",95357,96672,97733,99427,100440,101311,101664,101664
"Grant","WI",51728,51444,51439,51984,51285,51276,51437,51437
"Grant","WV",11627,11630,11568,10988,11009,10968,10937,10937
"Grant Parish","LA",22296,22436,22389,22135,22212,22000,21921,21921
"Granville","NC",59372,59979,60443,61060,61408,61903,62693,62693
"Gratiot","MI",40979,40602,40711,41667,41269,41100,41113,41113
"Graves","KY",37190,37319,37266,36527,36634,36412,36524,36524
"Gray","KS",6018,6076,5988,5646,5672,5729,5736,5736
"Gray","TX",22106,22051,21886,21198,21085,21015,21347,21347
"Grays Harbor","WA",72490,73801,75061,75855,76787,77038,77307,77307
"Grayson","KY",26286,26293,26427,26454,26582,26631,26713,26713
"Grayson","TX",131152,133787,136212,136100,139561,143131,145389,145389
"Grayson","VA",15697,15635,15550,15278,15330,15343,15400,15400
"Greater Bridgeport Planning Region","CT",NA,NA,NA,324932,327229,327286,326472,326472
"Greeley","KS",1226,1229,1232,1274,1280,1223,1225,1225
"Greeley","NE",2363,2355,2356,2175,2184,2227,2239,2239
"Green","KY",11036,10998,10941,11130,11308,11365,11400,11400
"Green","WI",36877,36924,36960,37036,37018,36816,36932,36932
"Green Lake","WI",18720,18849,18913,19022,19249,19220,19281,19281
"Greenbrier","WV",35208,34792,34662,32895,32698,32435,32343,32343
"Greene","AL",8310,8209,8111,7702,7592,7422,7472,7472
"Greene","AR",44993,45339,45325,45864,46349,46448,46785,46785
"Greene","GA",17203,17733,18324,19021,19553,20139,20354,20354
"Greene","IA",8954,8965,8888,8752,8733,8741,8759,8759
"Greene","IL",13156,13065,12969,11936,11851,11651,11622,11622
"Greene","IN",32172,32059,31922,30804,30826,31006,31139,31139
"Greene","MO",289512,291054,293086,299312,301118,303293,304187,304187
"Greene","MS",13529,13996,13586,13530,13643,13552,13551,13551
"Greene","NC",20963,21106,21069,20440,20261,20211,20469,20469
"Greene","NY",47442,47381,47188,47912,48493,48061,47803,47803
"Greene","OH",166566,167446,168937,168119,167628,168456,168885,168885
"Greene","PA",36846,36661,36233,35859,35269,34663,34636,34636
"Greene","TN",68821,69164,69069,70333,70603,71405,72167,72167
"Greene","VA",19593,19692,19819,20606,21028,21107,21185,21185
"Greenlee","AZ",9443,9448,9498,9526,9377,9302,9394,9394
"Greensville","VA",11569,11432,11336,11382,11412,11226,11268,11268
"Greenup","KY",35514,35332,35098,35887,35682,35403,35512,35512
"Greenville","SC",506831,514621,523542,527207,534521,547950,557381,557381
"Greenwood","KS",6067,6011,5982,5965,5922,5939,5946,5946
"Greenwood","SC",70496,70597,70811,69388,69148,69267,70460,70460
"Greer","OK",5793,5814,5712,5493,5483,5547,5594,5594
"Gregg","TX",122852,123251,123945,124241,124052,125443,127422,127422
"Gregory","SD",4206,4189,4185,3997,3952,3962,4004,4004
"Grenada","MS",21037,20984,20758,21572,21312,21088,21086,21086
"Griggs","ND",2244,2228,2231,2297,2284,2252,2266,2266
"Grimes","TX",27955,28291,28880,29430,30106,30754,31240,31240
"Grundy","IA",12298,12272,12232,12334,12371,12356,12382,12382
"Grundy","IL",50622,50973,51054,52517,52929,53041,52905,52905
"Grundy","MO",9991,9975,9850,9761,9761,9838,9867,9867
"Grundy","TN",13332,13348,13427,13539,13586,13783,13930,13930
"Guadalupe","NM",4410,4334,4300,4440,4432,4310,4313,4313
"Guadalupe","TX",159639,163276,166847,173686,177254,182760,185644,185644
"Guernsey","OH",39066,39011,38875,38415,38263,38098,38195,38195
"Guilford","NC",528243,532607,537174,539498,542756,546101,553070,553070
"Gulf","FL",16105,16146,13639,14264,14452,15314,15566,15566
"Gunnison","CO",16863,17167,17462,16945,17309,17267,17379,17379
"Guthrie","IA",10645,10720,10689,10613,10586,10647,10669,10669
"Gwinnett","GA",918186,927337,936250,958005,965145,975353,985753,985753
"Haakon","SD",1921,1902,1899,1870,1834,1826,1846,1846
"Habersham","GA",44535,45373,45328,46138,46740,47475,47982,47982
"Haines Borough","AK",2524,2488,2530,2086,2074,2056,2056,2056
"Hale","AL",14801,14749,14651,14768,14737,14595,14694,14694
"Hale","TX",33954,33631,33406,32465,32234,31827,32330,32330
"Halifax","NC",51311,50634,50010,48521,48377,47848,48459,48459
"Halifax","VA",34575,34181,33911,33920,33758,33644,33769,33769
"Hall","GA",198953,201538,204441,203735,207393,212692,214960,214960
"Hall","NE",61201,61286,61353,62760,62092,62097,62427,62427
"Hall","TX",3042,3025,2964,2797,2845,2810,2855,2855
"Hamblen","TN",64062,64629,64934,64537,64390,65168,65863,65863
"Hamilton","FL",14364,14262,14428,13733,13082,13217,13435,13435
"Hamilton","IA",15032,14886,14773,15008,14883,14820,14851,14851
"Hamilton","IL",8181,8148,8116,7997,7923,7984,7964,7964
"Hamilton","IN",322933,330311,338011,348966,357330,364921,366479,366479
"Hamilton","KS",2616,2600,2539,2489,2468,2430,2433,2433
"Hamilton","NE",9194,9260,9324,9404,9382,9429,9480,9480
"Hamilton","NY",4471,4432,4416,5073,5114,5118,5091,5091
"Hamilton","OH",814170,815445,817473,830320,827501,825037,827134,827134
"Hamilton","TN",361032,364293,367804,367242,369027,374682,378676,378676
"Hamilton","TX",8407,8477,8461,8247,8238,8298,8429,8429
"Hamlin","SD",5998,6070,6164,6157,6263,6352,6419,6419
"Hampden","MA",467705,468388,466372,464407,462849,461041,462324,462324
"Hampshire","MA",161077,161139,160830,146592,163088,162588,163041,163041
"Hampshire","WV",23386,23357,23175,23097,23374,23468,23401,23401
"Hampton","SC",19498,19348,19222,18519,18236,18113,18425,18425
"Hampton city","VA",134725,134330,134510,137276,137847,138037,138547,138547
"Hancock","GA",8539,8368,8457,8708,8664,8387,8477,8477
"Hancock","IA",10756,10710,10630,10757,10685,10685,10707,10707
"Hancock","IL",17958,17828,17708,17547,17388,17244,17200,17200
"Hancock","IN",74998,76478,78168,80187,81855,83070,83425,83425
"Hancock","KY",8778,8738,8722,9105,9083,9021,9049,9049
"Hancock","ME",54539,54734,54987,55500,56403,56701,57126,57126
"Hancock","MS",46949,47278,47632,46117,46046,46094,46089,46089
"Hancock","OH",75973,75920,75783,74930,74775,74861,75052,75052
"Hancock","TN",6593,6561,6620,6625,6777,6845,6918,6918
"Hancock","WV",29383,29079,28810,29037,28591,28172,28092,28092
"Hand","SD",3275,3240,3191,3145,3095,3140,3173,3173
"Hanover","VA",105674,106886,107766,110195,111821,112938,113356,113356
"Hansford","TX",5485,5470,5399,5260,5138,5151,5233,5233
"Hanson","SD",3409,3364,3453,3465,3496,3461,3498,3498
"Haralson","GA",29248,29561,29792,30037,30579,31337,31672,31672
"Hardee","FL",27154,27168,26937,25331,25307,25645,26067,26067
"Hardeman","TN",25488,25276,25050,25432,25276,25529,25802,25802
"Hardeman","TX",3959,3929,3933,3559,3544,3516,3572,3572
"Hardin","IA",17073,16937,16846,16820,16719,16567,16601,16601
"Hardin","IL",3922,3893,3821,3641,3650,3597,3588,3588
"Hardin","KY",108161,110279,110958,110816,111766,111862,112206,112206
"Hardin","OH",31329,31418,31365,30724,30446,30416,30494,30494
"Hardin","TN",25738,25693,25652,26805,26878,27077,27366,27366
"Hardin","TX",57117,57107,57602,56344,57044,57811,58723,58723
"Harding","NM",684,650,625,655,636,628,629,629
"Harding","SD",1244,1252,1298,1307,1320,1330,1344,1344
"Hardy","WV",13849,13764,13776,14241,14155,14192,14152,14152
"Harford","MD",251858,253882,255441,261213,263292,263867,264535,264535
