"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Ashtabula","OH",97748,97587,97241,97516,97452,97014,97261,97261
"Asotin","WA",22509,22616,22582,22325,22468,22508,22587,22587
"Assumption Parish","LA",22568,22279,21891,20957,20726,20604,20530,20530
"Atascosa","TX",49083,50322,51153,49134,49886,50864,51667,51667
"Atchison","KS",16298,16173,16073,16318,16257,16108,16127,16127
"Atchison","MO",5243,5183,5143,5308,5227,5182,5198,5198
"Athens","OH",66503,65519,65327,62371,59086,58979,59129,59129
"Atkinson","GA",8182,8262,8165,8311,8358,8183,8271,8271
"Atlantic","NJ",265498,263989,263670,274172,275130,275638,276506,276506
"Atoka","OK",13779,13795,13758,14154,14252,14262,14383,14383
"Attala","MS",18467,18328,18174,17816,17706,17509,17507,17507
"Audrain","MO",25590,25423,25388,24798,24824,24434,24506,24506
"Audubon","IA",5550,5471,5496,5681,5665,5598,5610,5610
"Auglaize","OH",45753,45736,45656,46461,46240,45948,46065,46065
"Augusta","VA",75177,75535,75558,77567,77778,78064,78353,78353
"Aurora","SD",2769,2785,2751,2733,2732,2755,2784,2784
"Austin","TX",29722,29965,30032,30131,30421,31097,31588,31588
"Autauga","AL",55390,55533,55869,58902,59210,59759,60162,60162
"Avery","NC",17517,17528,17557,17848,17502,17571,17796,17796
"Avoyelles Parish","LA",40836,40402,40144,39638,39265,38751,38612,38612
"Baca","CO",3554,3584,3581,3482,3487,3432,3455,3455
"Bacon","GA",11205,11132,11164,11108,11071,11191,11311,11311
"Bailey","TX",7066,7015,7000,6868,6803,6779,6886,6886
"Baker","FL",28254,28353,29210,28115,28673,27803,28261,28261
"Baker","GA",3159,3086,3038,2851,2827,2788,2818,2818
"Baker","OR",16083,16034,16124,16725,16873,16938,16911,16911
"Baldwin","AL",212521,217855,223234,233219,239361,246435,248095,248095
"Baldwin","GA",44963,44893,44890,43794,43671,43635,44101,44101
"Ballard","KY",8018,7992,7888,7712,7690,7650,7674,7674
"Baltimore","MD",828645,827859,827370,853325,850634,846161,848302,848302
"Baltimore city","MD",610481,602443,593490,583139,576981,569931,571373,571373
"Bamberg","SC",14384,14272,14066,13261,13112,12908,13131,13131
"Bandera","TX",22327,22792,23112,20992,21551,22115,22464,22464
"Banks","GA",18628,18972,19234,18082,18538,19328,19535,19535
"Banner","NE",726,725,745,677,689,660,664,664
"Bannock","ID",85482,86674,87808,87270,88349,89517,90704,90704
"Baraga","MI",8441,8324,8209,8140,8291,8277,8280,8280
"Barber","KS",4570,4465,4427,4203,4099,4122,4127,4127
"Barbour","AL",25157,24872,24686,24960,24539,24706,24873,24873
"Barbour","WV",16515,16487,16441,15463,15445,15414,15370,15370
"Barnes","ND",10679,10527,10415,10847,10812,10758,10823,10823
"Barnstable","MA",213581,213471,212990,228856,232594,232457,233104,233104
"Barnwell","SC",21355,21121,20866,20580,20580,20414,20766,20766
"Barren","KY",43746,44115,44249,44502,44599,44854,44992,44992
"Barron","WI",45141,45150,45244,46714,46746,46843,46990,46990
"Barrow","GA",78899,80834,83240,83975,86672,89299,90252,90252
"Barry","MI",60682,61231,61550,62598,63170,63554,63574,63574
"Barry","MO",35631,35712,35789,34541,34733,34926,35029,35029
"Bartholomew","IN",82213,82722,83779,82216,82730,83540,83897,83897
"Barton","KS",26394,26057,25779,25419,25239,25080,25109,25109
"Barton","MO",11793,11790,11754,11608,11649,11694,11729,11729
"Bartow","GA",105098,106378,107738,109296,110901,112816,114019,114019
"Bastrop","TX",84585,86595,88723,98046,102166,106188,107864,107864
"Bates","MO",16293,16304,16172,16045,16084,16177,16225,16225
"Bath","KY",12381,12444,12500,12716,12774,12829,12869,12869
"Bath","VA",4266,4253,4147,4186,4087,4049,4064,4064
"Baxter","AR",41308,41624,41932,41687,42171,42435,42743,42743
"Bay","FL",184736,186240,174705,174506,179498,185134,188180,188180
"Bay","MI",104045,103702,103126,103733,103251,102821,102854,102854
"Bayfield","WI",15006,15026,15036,16233,16304,16608,16660,16660
"Baylor","TX",3555,3573,3509,3461,3456,3466,3521,3521
"Beadle","SD",18541,18423,18453,19165,19182,19376,19579,19579
"Bear Lake","ID",6023,6044,6125,6367,6559,6722,6812,6812
"Beaufort","NC",47033,47056,46994,44690,44438,44272,44837,44837
"Beaufort","SC",186497,188876,192122,187819,192007,196371,199751,199751
"Beauregard Parish","LA",36847,37369,37497,36600,36619,36570,36439,36439
"Beaver","OK",5364,5318,5311,5029,4999,5016,5059,5059
"Beaver","PA",165654,164582,163929,167860,166914,165677,165546,165546
"Beaver","UT",6421,6625,6710,7087,7203,7327,7408,7408
"Beaverhead","MT",9450,9412,9453,9381,9532,9719,9806,9806
"Becker","MN",34082,34389,34423,35194,35326,35371,35500,35500
"Beckham","OK",21779,21720,21859,22342,22044,22009,22196,22196
"Bedford","PA",48356,48094,47888,47569,47495,47418,47381,47381
"Bedford","TN",48211,49146,49713,50381,51157,51950,52504,52504
"Bedford","VA",78378,78882,78997,79553,80287,80848,81147,81147
"Bee","TX",32592,32467,32565,31049,30828,30394,30874,30874
"Belknap","NH",60872,61145,61303,63775,64612,64781,65098,65098
"Bell","KY",26863,26487,26032,23984,23765,23568,23641,23641
"Bell","TX",347377,355397,362924,372229,380241,388386,394513,394513
"Belmont","OH",68002,67533,67006,66283,65895,65509,65676,65676
"Beltrami","MN",46477,46735,47188,46243,46420,46799,46969,46969
"Ben Hill","GA",17037,16822,16700,17168,17152,17069,17251,17251
"Benewah","ID",9157,9218,9298,9576,9941,10370,10508,10508
"Bennett","SD",3446,3473,3365,3389,3400,3336,3371,3371
"Bennington","VT",35675,35520,35470,37300,37424,37392,37416,37416
"Benson","ND",6916,6958,6832,5931,5778,5770,5805,5805
"Bent","CO",5827,5808,5577,5478,5337,5399,5434,5434
"Benton","AR",266585,272266,279141,286586,294337,302863,305061,305061
"Benton","IA",25656,25625,25645,25534,25719,25711,25764,25764
"Benton","IN",8631,8653,8748,8716,8714,8719,8757,8757
"Benton","MN",40135,40510,40889,41357,41496,41463,41614,41614
"Benton","MO",19072,19297,19443,19424,19916,20224,20284,20284
"Benton","MS",8255,8243,8259,7661,7630,7550,7550,7550
"Benton","OR",91790,92442,93053,95208,96277,97630,97474,97474
"Benton","TN",15993,16246,16160,15850,15839,16002,16173,16173
"Benton","WA",198200,201286,204390,207413,210585,212791,213532,213532
"Benzie","MI",17624,17761,17766,17997,18236,18297,18303,18303
"Bergen","NJ",932420,932816,932202,953617,954879,952997,955996,955996
"Berkeley","SC",214541,221182,227907,231538,236871,245117,249336,249336
"Berkeley","WV",115073,117236,119171,122691,126194,129490,129120,129120
"Berks","PA",417511,420529,421164,428631,429612,430449,430107,430107
"Berkshire","MA",126353,125901,124944,128774,128621,127859,128215,128215
"Bernalillo","NM",678203,678034,679121,676803,674980,672508,672835,672835
"Berrien","GA",19108,19266,19397,18148,18128,18214,18409,18409
"Berrien","MI",154128,153790,153401,154183,153377,152900,152948,152948
"Bertie","NC",19263,19106,18947,17862,17425,17240,17460,17460
"Bethel Census Area","AK",18090,18219,18386,18673,18599,18257,18253,18253
