branch_code,month,defaultlo,sumfines,pre_plaz,nmembers,credentry,cred_use,female,married,divorced,age,educ0,educ2,newgroup,newclnt,int_mont
47,531,0,1.2600001,24.533333,1,15386,1,.33333334,.60000002,0,26.333334,.06666667,.86666667,0,.33333334,25714.28571428572
47,532,0,0,19.6,1,15386,1,.1,.30000001,0,25.1,0,1,0,0,18571.42857142857
47,533,.14285715,0,20.727272,1,15386,1,.27272728,.27272728,.090909094,29.700001,.090909094,.54545456,0,.27272728,23517.85714285714
47,534,0,0,24.5,1,15386,1,.25,.25,0,26.166666,0,.91666669,0,.16666667,34062.5
47,535,0,0,18.666666,1,15386,1,.33333334,.22222222,0,24.5,0,.8888889,0,.33333334,12678.57142857143
47,536,0,0,18.307692,1,15386,1,.30769232,.23076923,0,24.23077,0,.92307693,0,.07692308,21517.85714285714
47,537,0,0,20.333334,1,15386,1,.41666666,.33333334,0,31.833334,.083333336,.91666669,0,.33333334,24392.85714285714
47,538,0,0,18.266666,1,15386,1,.26666668,.33333334,0,30.666666,0,.93333334,0,.2,27928.57142857143
47,539,0,0,27.333334,1,15386,1,.11111111,.33333334,0,26.888889,0,.8888889,0,.33333334,31517.85714285714
47,540,0,0,14.666667,1,15386,1,.16666667,.33333334,0,26.5,.16666667,.83333331,0,.16666667,11732.14285714286
46,480,.088888891,44.249554,6.1777778,3.9333334,15659,0,.48888889,.73333335,0,39.204544,.15555556,.13333334,0,0,37338.06256975447
46,481,1,3870.6101,12,4,15659,0,.75,.25,0,43.25,.5,.25,0,0,1512.5
46,482,1,683.745,15,1,15659,0,1,1,0,41.5,0,1,0,0,2232.142857142857
46,483,1,3657.4199,18,1,15659,0,1,0,0,45,0,0,0,0,1560.905412946429
46,484,1,670.08997,18,1,15659,0,1,1,0,56,0,0,0,0,2327.625034877232
46,485,1,2682,12,1,15659,0,1,0,0,57,0,1,0,0,892.8571428571429
46,486,1,0,12,1,15659,0,1,0,0,57,0,1,0,0,892.8571428571429
45,480,.092715234,21.602449,4.8675499,3.1456954,15202,0,.37748346,.68874174,.013245033,41.880795,.052980132,.026490066,0,0,179809.937286377
45,481,.12808989,20.762022,6.4561796,3.013483,15202,0,.42022473,.71685392,.0089887641,42.678814,.078651689,.058426965,0,0,388882.4469021389
45,482,.085526317,19.733322,6.3486843,3.1447368,15202,0,.49342105,.70723683,.016447369,43.192055,.0625,.046052631,0,0,316495.5357578823
45,483,.079617836,12.124077,6.6687899,3.0891719,15202,0,.44585988,.67515922,.019108281,41.469452,.082802549,.041401275,0,0,315723.2089233398
45,484,.067669176,32.22876,6.4323306,3.1729324,15202,0,.46616542,.7218045,.022556391,42.768063,.067669176,.052631579,0,0,281892.8571428572
45,485,.052459016,3.7685573,7.8163934,3.2885246,15202,0,.45901638,.67540985,.016393442,41.963455,.072131149,.036065575,0,0,334133.0357142857
45,486,.06115108,8.3426256,7.1402879,3.2374101,15202,0,.46762589,.73381293,.01438849,42.451263,.08273381,.028776979,0,0,255488.0946241106
45,487,.052980132,1.8337418,6.2350993,3.2317882,15202,0,.46026489,.6754967,.023178808,41.781879,.066225164,.029801324,0,0,304982.5
45,488,.086330935,4.5740647,6.7625899,3.3453238,15202,0,.46043167,.72302157,.010791367,42.244526,.068345323,.025179856,0,0,312285.7142857143
45,489,.028000001,24.688959,5.9439998,3.3440001,15202,0,.456,.67199999,.035999998,41.805668,.083999999,.012,0,0,257000
45,490,.01923077,9.6189747,6.4647436,3.275641,15202,0,.43589744,.70192307,.009615385,41.79221,.057692308,.01923077,0,0,442946.4285714286
45,491,.047752809,6.3333707,6.5674157,3.275281,15202,0,.45786518,.69101125,.02247191,41.63662,.073033705,.019662922,0,0,566184.5267159599
45,492,.13962264,16.691019,5.9849057,3.3698113,15202,0,.46792454,.66415095,.018867925,42.478928,.060377359,.02264151,0,0,283571.4285714286
45,493,.016736401,8.012887,5.8995814,3.2761507,15202,0,.38912135,.71548116,.020920502,40.407562,.050209206,.012552301,0,0,286267.8571428572
45,494,.04296875,3.2105858,7.171875,3.3671875,15202,0,.52734375,.65234375,.0234375,42.750988,.03515625,.0390625,0,0,290232.1428571429
45,495,.079545453,8.3692045,6.7310605,3.2575758,15202,0,.42803031,.68939394,.015151516,41.053436,.075757578,.011363637,0,0,310856.5965053014
45,496,.036144577,4.8293977,6.8493977,3.3132529,15202,0,.47891566,.67168677,.015060241,42.133335,.033132531,.024096385,0,0,380514.2857142857
45,497,.09952607,7.439621,6.6729856,3.113744,15202,0,.43601894,.66824645,.028436018,42.071091,.0521327,.018957347,0,0,233946.4285714286
45,498,.068965517,22.308008,6.4904213,3.2452106,15202,0,.47126436,.64750957,.022988506,40.764481,.026819924,.026819924,0,0,320982.1428571429
45,499,.081560284,5.6271987,6.9751773,3.177305,15202,0,.47872341,.66666669,.024822695,42.064056,.04609929,.014184397,0,0,315142.8213936942
45,500,.097560972,7.5718117,6.5574913,3.2299652,15202,1,.43902439,.69337982,.020905923,40.772728,.031358887,.020905923,.090361446,.083623692,350685.7142857143
45,501,.067164183,14.988097,6.6604476,2.8805971,15202,1,.44402984,.67164177,.026119404,40.591759,.0037313432,.02238806,.19920319,.22761194,352758.9285714286
45,502,.062295083,15.659902,7.0524592,2.7442622,15202,1,.38032788,.60655737,.022950819,39.763935,.013114754,.013114754,.26449275,.29836065,452892.8571428572
45,503,.092519686,27.483858,7.4586616,2.7322834,15202,1,.40944883,.64173228,.017716536,39.820866,.0039370079,.011811024,.14935064,.18110237,999223.2142857143
45,504,.13138686,41.948322,7.4087591,2.7226276,15202,1,.37956205,.67883211,.01459854,40.189781,0,.00729927,.16260162,.1970803,236678.5714285714
45,505,.14963503,33.166279,7.0474453,2.759124,15202,1,.44160584,.62408757,.025547445,40.59124,.003649635,.003649635,.1003861,.14233577,352482.1428571429
45,506,.076642334,12.902226,7.9233575,2.7372262,15202,1,.43065694,.60218978,.00729927,40.18248,0,.003649635,.15564202,.17883211,426500
45,507,.065040648,25.948347,7.8970189,2.5555556,15202,1,.46070459,.61517614,.032520324,40.634148,0,0,.19277108,.23306233,515678.5714285715
45,508,.11111111,49.539391,7.5444446,2.5277777,15202,1,.39444444,.64999998,.013888889,39.644444,0,0,.20123839,.2361111,475375.0000000001
45,509,.08561644,12.625342,7.5239725,2.5342467,15202,1,.44520548,.55821919,.020547945,40.222603,0,0,.19465649,.2260274,360732.1428571429
45,510,.058479533,6.0660233,7.4152045,2.4912281,15202,1,.43567252,.59941518,.014619883,39.63158,0,0,.1,.13450292,489598.2142857143
45,511,.082508251,28.473497,7.8547854,2.4521451,15202,1,.46534654,.62046206,.02310231,40.333332,0,0,.10622711,.12541254,391732.1428571429
45,512,.059154928,9.6139154,6.7661972,2.6619718,15202,1,.45915493,.61408448,.014084507,40.270424,0,0,.050595239,.067605637,466750.0000000001
45,513,.030172413,9.1225433,6.1034484,2.3706896,15202,1,.34051725,.56034482,.034482758,39.168102,0,0,.048780486,.090517238,310732.1428571429
45,514,.027681662,8.8861933,8.33218,2.5363321,15202,1,.51557094,.63321799,.013840831,41.069202,0,0,.079245284,.10726643,538892.8571428572
45,515,.10034014,24.38755,6.734694,2.3129251,15202,1,.40306121,.58673471,.010204081,38.370747,0,.0017006802,.091262139,.10884354,1183946.428571429
45,516,.0066225166,7.7652979,7.4701986,2.8543046,15202,1,.5562914,.68874174,.019867551,41.437084,0,0,0,.0066225166,201035.7142857143
45,517,.051912569,50.485001,7.3224044,2.3770492,15202,1,.3989071,.57377046,.013661202,39.661201,0,.0027322404,.047477745,.065573767,541446.4285714286
45,518,.069686413,64.803139,7.574913,2.3519163,15202,1,.45644599,.63414633,.017421603,39.28223,.0034843206,0,.031872511,.066202089,356946.4285714286
45,519,.044642858,10.732917,7.5357141,2.4583333,15202,1,.43154761,.63095236,.014880952,39.872025,0,0,.045307443,.0625,544589.2857142858
45,520,.077192985,22.449579,7.0947371,2.4877193,15202,1,.46315789,.61052632,.007017544,41.336842,0,0,.019685039,.049122807,401571.4285714286
45,521,.0093896715,6.4809861,7.70892,2.3239436,15202,1,.41784036,.56807512,.014084507,38.610329,0,0,.047619049,.079812206,311517.8571428572
45,522,.03773585,3.1809747,7.6855345,2.4339623,15202,1,.51572329,.62893081,.015723271,40.103775,0,0,.034965035,.050314464,435464.2857142857
45,523,.036144577,4.1359439,6.9839358,2.4056225,15202,1,.34538153,.58634537,.020080321,39.11245,0,0,.043103449,.052208837,364696.4285714286
45,524,.018867925,7.4447923,7.4000001,2.4415095,15202,1,.47924528,.63773584,.01509434,40.452831,0,0,.03305785,.049056605,418214.2857142857
45,525,.01953125,9.4425392,5.3046875,2.421875,15202,1,.4296875,.59765625,.01953125,38.902344,0,0,.059071731,.08984375,276267.8571428572
45,526,.038961038,8.0519314,8.4721031,2.2446351,15202,1,.527897,.639485,0,40.630901,0,0,.041884817,.06437768,465500.0000000001
45,527,.043859649,14.706807,6.8315787,2.3403509,15202,1,.44561404,.61754388,.01754386,39.064911,0,.001754386,.036144577,.064912282,1240464.01436942
45,528,.055555556,12.964167,6.9027777,2.4027777,15202,1,.5,.56944442,.020833334,40.138889,0,0,.040983606,.11805555,224035.7142857143
45,529,.039007094,13.091845,7.9893618,2.35461,15202,1,.4716312,.58865249,.014184397,40.329788,0,0,.054474708,.074468084,388696.4285714286
45,530,.035190616,13.418866,7.8633723,2.3430233,15202,1,.43895349,.61627907,.020348838,37.997093,0,.0029069767,.079872206,.11337209,557258.9285714286
45,531,.028455285,19.392033,7.776423,2.308943,15202,1,.43495935,.67479676,.032520324,39.256096,0,0,.11428571,.13414635,442446.4285714286
45,532,.052631579,12.396772,7.9263158,2.3894737,15202,1,.52631581,.61052632,.021052632,39.863159,0,0,.109375,.14736842,425025
45,533,.044052862,15.49859,8.53304,2.3480177,15202,1,.49779737,.57709253,.022026431,39.198238,0,0,.096256681,.17180617,349946.4285714286
